CDKT | cdkt_lnst_chua_phan_phoi_luy_ke_den_cuoi_ky_truoc | N/A | LNST chưa phân phối lũy kế đến cuối kỳ trước
CDKT | cdkt_lnst_chua_phan_phoi_ky_nay | N/A | LNST chưa phân phối kỳ này
CDKT | cdkt_loi_ich_co_dong_khong_kiem_soat | N/A | Lợi ích cổ đông không kiểm soát
CDKT | cdkt_von_ngan_sach_nha_nuoc_va_quy_khac | N/A | Vốn Ngân sách nhà nước và quỹ khác
CDKT | cdkt_quy_khen_thuong_phuc_loi_1 | N/A | Quỹ khen thưởng, phúc lợi (trước 2010)
CDKT | cdkt_von_ngan_sach_nha_nuoc_va_quy_khac_1 | N/A | Vốn ngân sách nhà nước và quỹ khác
CDKT | cdkt_nguon_kinh_phi_da_hinh_thanh_tscd | N/A | Nguồn kinh phí đã hình thành TSCĐ
CDKT | cdkt_loi_ich_cua_co_dong_thieu_so | N/A | Lợi ích của cổ đông thiểu số
CDKT | cdkt_tong_cong_nguon_von | N/A | Tổng cộng nguồn vốn
KQKD | kqkd_doanh_thu_ban_hang_va_cung_cap_dich_vu | N/A | Doanh thu bán hàng và cung cấp dịch vụ
KQKD | kqkd_cac_khoan_giam_tru_doanh_thu | N/A | Các khoản giảm trừ doanh thu
KQKD | kqkd_doanh_thu_thuan | N/A | Doanh thu thuần
KQKD | kqkd_gia_von_hang_ban | N/A | Giá vốn hàng bán
KQKD | kqkd_loi_nhuan_gop | N/A | Lợi nhuận gộp
KQKD | kqkd_doanh_thu_hoat_dong_tai_chinh | N/A | Doanh thu hoạt động tài chính
KQKD | kqkd_chi_phi_tai_chinh | N/A | Chi phí tài chính
KQKD | kqkd_chi_phi_lai_vay | N/A | Chi phí lãi vay
KQKD | kqkd_lai_tu_cong_ty_lien_doanh | N/A | Lãi/(lỗ) từ công ty liên doanh (từ năm 2015)
KQKD | kqkd_chi_phi_ban_hang | N/A | Chi phí bán hàng
KQKD | kqkd_chi_phi_quan_ly_doanh_nghiep | N/A | Chi phí quản lý doanh nghiệp
KQKD | kqkd_lai_tu_hoat_dong_kinh_doanh | N/A | Lãi/(lỗ) từ hoạt động kinh doanh
KQKD | kqkd_thu_nhap_khac_rong | N/A | Thu nhập khác, ròng
KQKD | kqkd_thu_nhap_khac | N/A | Thu nhập khác
KQKD | kqkd_chi_phi_khac | N/A | Chi phí khác
KQKD | kqkd_lai_tu_cong_ty_lien_doanh_1 | N/A | Lãi/(lỗ) từ công ty liên doanh
KQKD | kqkd_lai_truoc_thue | N/A | Lãi/(lỗ) trước thuế
KQKD | kqkd_chi_phi_thue_thu_nhap_doanh_nghiep | N/A | Chi phí thuế thu nhập doanh nghiệp
KQKD | kqkd_thue_thu_nhap_doanh_nghiep_hien_thoi | N/A | Thuế thu nhập doanh nghiệp - hiện thời
KQKD | kqkd_thue_thu_nhap_doanh_nghiep_hoan_lai | N/A | Thuế thu nhập doanh nghiệp - hoãn lại
KQKD | kqkd_lai_thuan_sau_thue | N/A | Lãi/(lỗ) thuần sau thuế
KQKD | kqkd_loi_ich_cua_co_dong_thieu_so | N/A | Lợi ích của cổ đông thiểu số
KQKD | kqkd_loi_nhuan_cua_co_dong_cua_cong_ty_me | N/A | Lợi nhuận của Cổ đông của Công ty mẹ
KQKD | kqkd_lai_co_ban_tren_co_phieu | N/A | Lãi cơ bản trên cổ phiếu (VND)
